eto_lead_whatsapp_feedback_response_id,feedback_date,feedback_modref_id,feedback_modref_type,feedback_remarks,fk_buyer_glusr_usr_id,fk_eto_lead_whatsapp_template_id,fk_supplier_glusr_usr_id,im_whatsapp_msg_sent_date,response_flag
2193,02/07/24 10:21,107080259434.0,1.0,Not Satisfied,223370502.0,11.0,,02/07/24 10:21,-789.0
2195,02/07/24 10:30,107056992575.0,1.0,Not Satisfied,16655587.0,11.0,,02/07/24 10:30,-222.0
2196,02/07/24 10:34,107080063534.0,1.0,Not Satisfied,8264565.0,11.0,,02/07/24 10:34,-444.0
2206,02/07/24 10:30,107086205852.0,1.0,Satisfied,136650426.0,11.0,,02/07/24 10:30,111.0
2207,02/07/24 10:29,107053444095.0,1.0,Satisfied,30184884.0,11.0,,02/07/24 10:29,1000.0
2209,02/07/24 10:21,107072943363.0,1.0,Not Satisfied,224932518.0,11.0,,02/07/24 10:21,-222.0
2212,02/07/24 10:06,107046752534.0,1.0,Satisfied,122266015.0,11.0,,02/07/24 10:06,111.0
2216,02/07/24 10:25,107099173513.0,1.0,Satisfied,184458229.0,11.0,,02/07/24 10:25,111.0
2221,02/07/24 10:28,107070711134.0,1.0,Satisfied,186346318.0,11.0,,02/07/24 10:28,111.0
2222,02/07/24 10:09,107078999285.0,1.0,Satisfied,123408874.0,11.0,,02/07/24 10:09,111.0
2229,02/07/24 10:33,107085175434.0,1.0,Not Satisfied,47760553.0,11.0,,02/07/24 10:33,-234.0
2238,02/07/24 10:23,107072770767.0,1.0,Satisfied,55139412.0,11.0,,02/07/24 10:23,111.0
316,02/07/24 10:03,107092260763.0,1.0,Satisfied,61554408.0,11.0,,02/07/24 10:03,111.0
319,02/07/24 10:05,107083313859.0,1.0,Satisfied,27461674.0,11.0,,02/07/24 10:05,111.0
321,02/07/24 10:05,107085329646.0,1.0,Not Satisfied,29711028.0,11.0,,02/07/24 10:05,-234.0
322,02/07/24 10:02,107063275113.0,1.0,Satisfied,150986593.0,11.0,,02/07/24 10:02,111.0
328,02/07/24 10:02,107092818475.0,1.0,Not Satisfied,202995208.0,11.0,,02/07/24 10:02,-222.0
329,02/07/24 10:01,107076599946.0,1.0,Satisfied,147214095.0,11.0,,02/07/24 10:01,111.0
331,02/07/24 10:03,107092260763.0,1.0,Satisfied,61554408.0,11.0,,02/07/24 10:03,-111.0
332,02/07/24 10:01,107060915659.0,1.0,Satisfied,149105780.0,11.0,,02/07/24 10:01,111.0
335,02/07/24 10:02,107032628275.0,1.0,Not Satisfied,38074404.0,11.0,,02/07/24 10:02,-234.0
341,02/07/24 10:02,107059180846.0,1.0,Satisfied,199312284.0,11.0,,02/07/24 10:02,111.0
2227,02/07/24 10:29,107079381534.0,1.0,Satisfied,103067956.0,11.0,,02/07/24 10:29,111.0
2230,02/07/24 10:29,107079381534.0,1.0,Satisfied,103067956.0,11.0,,02/07/24 10:29,111.0
2231,02/07/24 10:35,107085913013.0,1.0,Not Satisfied,150276229.0,11.0,,02/07/24 10:35,-234.0
2236,02/07/24 10:08,107061471185.0,1.0,Not Satisfied,82396176.0,11.0,,02/07/24 10:08,-234.0
2239,02/07/24 10:24,107032716052.0,1.0,Satisfied,75589015.0,11.0,,02/07/24 10:24,111.0
2241,02/07/24 10:29,107079381534.0,1.0,Satisfied,103067956.0,11.0,,02/07/24 10:29,333.0
2244,02/07/24 10:13,107083754752.0,1.0,Satisfied,46562816.0,11.0,,02/07/24 10:13,333.0
2245,02/07/24 10:35,107100037134.0,1.0,Not Satisfied,99053860.0,11.0,,02/07/24 10:35,-222.0
2248,02/07/24 10:18,107065003375.0,1.0,Not Satisfied,116078631.0,11.0,,02/07/24 10:18,-234.0
2251,02/07/24 10:35,107067588259.0,1.0,Satisfied,180718367.0,11.0,,02/07/24 10:35,111.0
2252,02/07/24 10:11,107056144346.0,1.0,Not Satisfied,117660211.0,11.0,,02/07/24 10:11,-789.0
2253,02/07/24 10:29,107050219959.0,1.0,Satisfied,88400206.0,11.0,,02/07/24 10:29,111.0
2254,02/07/24 10:30,107057882075.0,1.0,Not Satisfied,224468616.0,11.0,,02/07/24 10:30,-234.0
2258,02/07/24 10:02,107054273585.0,1.0,Satisfied,161956882.0,11.0,,02/07/24 10:02,111.0
2260,02/07/24 10:29,107085894452.0,1.0,Satisfied,130976112.0,11.0,,02/07/24 10:29,111.0
2264,02/07/24 10:18,107065003375.0,1.0,Not Satisfied,116078631.0,11.0,,02/07/24 10:18,-666.0
2266,02/07/24 10:35,107087652675.0,1.0,Satisfied,47194845.0,11.0,,02/07/24 10:35,111.0
2267,02/07/24 10:28,107054299175.0,1.0,Satisfied,212833517.0,11.0,,02/07/24 10:28,111.0
2268,02/07/24 10:14,107055814667.0,1.0,Not Satisfied,22783430.0,11.0,,02/07/24 10:14,-234.0
2269,02/07/24 10:30,107045982446.0,1.0,Satisfied,224885766.0,11.0,,02/07/24 10:30,111.0
2271,02/07/24 10:30,107057882075.0,1.0,Not Satisfied,224468616.0,11.0,,02/07/24 10:30,-666.0
2274,02/07/24 10:09,107093207646.0,1.0,Not Satisfied,93302371.0,11.0,,02/07/24 10:09,-234.0
2275,02/07/24 10:20,107005886552.0,1.0,Satisfied,155995160.0,11.0,,02/07/24 10:20,111.0
2276,02/07/24 10:13,107084524475.0,1.0,Not Satisfied,85376626.0,11.0,,02/07/24 10:13,-234.0
2277,02/07/24 10:01,107056599575.0,1.0,Satisfied,159132317.0,11.0,,02/07/24 10:01,111.0
2282,02/07/24 10:17,107061306663.0,1.0,Satisfied,91761464.0,11.0,,02/07/24 10:17,111.0
2290,02/07/24 10:14,107055814667.0,1.0,Not Satisfied,22783430.0,11.0,,02/07/24 10:14,-222.0
2297,02/07/24 10:10,107078395746.0,1.0,Satisfied,10765683.0,11.0,,02/07/24 10:10,111.0
2302,02/07/24 10:35,107057821159.0,1.0,Satisfied,111123856.0,11.0,,02/07/24 10:35,111.0
2305,02/07/24 10:28,107069858452.0,1.0,Not Satisfied,208205810.0,11.0,,02/07/24 10:28,-444.0
2307,02/07/24 10:02,107063574552.0,1.0,Satisfied,205518349.0,11.0,,02/07/24 10:02,111.0
2311,02/07/24 10:36,107059469313.0,1.0,Satisfied,159979631.0,11.0,,02/07/24 10:36,111.0
2312,02/07/24 10:32,107071894534.0,1.0,Satisfied,224263982.0,11.0,,02/07/24 10:32,111.0
2314,02/07/24 10:15,107073319459.0,1.0,Not Satisfied,109315903.0,11.0,,02/07/24 10:15,-234.0
2318,02/07/24 10:17,107055266785.0,1.0,Not Satisfied,9234750.0,11.0,,02/07/24 10:17,-666.0
2319,02/07/24 10:11,107085809567.0,1.0,Not Satisfied,99255661.0,11.0,,02/07/24 10:11,-234.0
2320,02/07/24 10:18,107082743775.0,1.0,Satisfied,221820475.0,11.0,,02/07/24 10:18,111.0
2321,02/07/24 10:34,107075664785.0,1.0,Not Satisfied,219169526.0,11.0,,02/07/24 10:34,-222.0
2322,02/07/24 10:11,107085809567.0,1.0,Not Satisfied,99255661.0,11.0,,02/07/24 10:11,-234.0
2323,02/07/24 10:11,107085809567.0,1.0,Not Satisfied,99255661.0,11.0,,02/07/24 10:11,-234.0
2325,02/07/24 10:34,107075664785.0,1.0,Not Satisfied,219169526.0,11.0,,02/07/24 10:34,-222.0
2330,02/07/24 10:09,107093207646.0,1.0,Not Satisfied,93302371.0,11.0,,02/07/24 10:09,-345.0
2648,02/07/24 10:09,107085032346.0,1.0,Satisfied,7237258.0,11.0,,02/07/24 10:09,111.0
2649,02/07/24 10:09,107092769146.0,1.0,Not Satisfied,14142736.0,11.0,,02/07/24 10:09,-234.0
2651,02/07/24 10:11,107063577385.0,1.0,Satisfied,222551955.0,11.0,,02/07/24 10:11,111.0
2652,02/07/24 10:09,107085032346.0,1.0,Satisfied,7237258.0,11.0,,02/07/24 10:09,111.0
2655,02/07/24 10:31,107044522875.0,1.0,Not Satisfied,123483699.0,11.0,,02/07/24 10:31,-222.0
